2024-12-04 15:13:02,996 - INFO - 2020-01-31 00:00:00: Selected 179 stocks.
2024-12-04 15:13:02,997 - INFO - 2020-01-31 00:00:00: Portfolio Value = 9,160,743.97
2024-12-04 15:13:03,016 - INFO - Selected Stocks:
Ticker        Name    Close  PER  PBR  DIV      EPS
003240        태광산업 629000.0 3.15 0.29 0.37 254395.0
006220        제주은행   2425.0 3.18 0.23 2.94   1071.0
009580       무림P&P   2920.0 3.19 0.36 6.99   1119.0
005010         휴스틸   1001.0 3.28 0.14 5.17   2362.0
006360        GS건설  20500.0 3.34 0.58 3.85   7788.0
000370      한화손해보험   1695.0 3.38 0.18 5.94    648.0
010780      아이에스동서  22450.0 3.38 0.78 4.46   7961.0
011780        금호석유  64800.0 3.38 0.85 2.27  17597.0
030610        교보증권   5920.0 3.40 0.31 4.64   2216.0
088350        한화생명   1390.0 3.40 0.14 6.21    473.0
004870      티웨이홀딩스    826.0 3.43 0.48 0.00    344.0
210540       디와이파워   5900.0 3.46 0.59 2.50   2311.0
010400     우진아이엔에스   5980.0 3.54 0.54 5.21   2172.0
175330      JB금융지주   4475.0 3.54 0.31 3.65   1391.0
294870   HDC현대산업개발  15550.0 3.54 0.44 2.92   4851.0
002310       아세아제지   5400.0 3.55 0.52 2.41   8785.0
042670   HD현대인프라코어   2661.0 3.55 0.46 0.00   1184.0
095570      AJ네트웍스   2950.0 3.61 0.56 2.47   1124.0
005870         휴니드   4645.0 3.62 0.75 0.00   1590.0
002030         아세아  74800.0 3.64 0.29 1.83  26329.0
024110        기업은행   7500.0 3.73 0.30 7.32   2531.0
067830     세이브존I&C   2135.0 3.74 0.24 1.98    673.0
011170       롯데케미칼 183834.0 4.00 0.50 5.69  46074.0
004000      롯데정밀화학  31050.0 4.01 0.63 5.03   8438.0
006740        영풍제지   1166.0 4.02 0.64 1.25    797.0
091810       티웨이항공   1570.0 4.02 0.79 0.00    946.0
002870          신풍    990.0 4.03 0.85 6.30    315.0
000540        흥국화재   2255.0 4.04 0.27 0.00    695.0
004970        신라교역   8720.0 4.04 0.32 4.90   2525.0
007160        사조산업  23600.0 4.05 0.35 0.86   7202.0
001200      유진투자증권   1800.0 4.08 0.25 3.06    480.0
000660      SK하이닉스  83300.0 4.14 1.43 1.63  22255.0
138930     BNK금융지주   4435.0 4.14 0.26 4.92   1475.0
161000       애경케미칼   5750.0 4.16 0.65 5.00   1682.0
086790      하나금융지주  23100.0 4.18 0.35 6.18   7360.0
000210          DL  66596.0 4.26 0.51 2.38  16741.0
001130        대한제분 112500.0 4.26 0.30 1.90  30882.0
007340     DN오토모티브   5047.0 4.27 0.50 3.66   6391.0
078930          GS  36800.0 4.28 0.46 4.66   9539.0
003530      한화투자증권   1400.0 4.29 0.33 0.00    411.0
093050          LF  10750.0 4.32 0.31 4.07   2846.0
002200      한국수출포장   1610.0 4.37 0.33 3.17   4323.0
004140          동방   1717.0 4.41 0.65 0.49    461.0
267270    HD현대건설기계  15000.0 4.45 0.33 4.17   4585.0
097950      CJ제일제당 216000.0 4.46 0.85 1.42  55416.0
095720       웅진씽크빅   2414.0 4.47 0.33 0.00    542.0
005720          넥센   3650.0 4.50 0.30 1.51   1103.0
138040     메리츠금융지주  10300.0 4.58 0.56 4.73   2169.0
004490        세방전지  26000.0 4.60 0.46 1.55   7025.0
014280        금강공업   2550.0 4.66 0.27 3.29    653.0
001450        현대해상  22650.0 4.67 0.47 5.26   4607.0
003470       유안타증권   1985.0 4.68 0.43 0.00    509.0
004360          세방   7710.0 4.69 0.25 1.96   1908.0
036460      한국가스공사  21500.0 4.69 0.30 5.03   5766.0
